transition,cohort_school_year,report_source,row_type,school_name_as_printed,pct_continuing_program,pct_continuing_same_school,source_file
2023-24_to_2024-25,2023-24,2023-24_report,school,Abundant Life Christian Academy (Sherwood),97.4,93.9,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Academy of Excellence (Eureka Springs),85.7,85.7,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Access Academy (Little Rock),85.8,81.1,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Agape Academy (Little Rock),100.0,100.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Anthem Classical Academy (Fayetteville),100.0,100.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Arkansas Christian Academy (Bryant),86.2,83.6,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Arrows Academy (Paragould),68.2,54.5,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Avilla Christian Academy (Alexander),88.2,41.2,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Baptist Preparatory School (Little Rock),88.4,86.9,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Baseline Bilingual School ( Little Rock),100.0,100.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Bentonville Christian Academy (Bentonville),70.4,63.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Blessed Sacrament Catholic School (Jonesboro),80.8,80.8,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Cabot Christian School (Cabot),100.0,60.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Calvary Academy (North Little Rock),90.3,89.6,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Calvary Christian School (Forrest City),88.9,88.9,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Catholic High School For Boys (Little Rock),86.8,86.8,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Central Arkansas Christian School (All Campuses),90.9,90.1,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Central Arkansas Montessori (Little Rock),86.1,83.3,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Christ Lutheran (Little Rock) (Little Rock),73.1,59.6,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Christ the King School (Fort Smith),98.4,93.8,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Christ the King School (Little Rock),97.5,86.3,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Clear Spring School (Eureka Springs),60.0,60.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Clover Community School (Bentonville),80.0,80.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Columbia Christian School (Magnolia),92.1,92.1,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Community Christian School (Siloam Springs),100.0,100.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Compass Academy (Conway),85.7,80.4,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Cornerstone Christian Academy (Tillar),87.3,87.3,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Cornerstone Montessori Christian Academy (Bryant),100.0,100.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,CrossPointe Preparatory School (Searcy),77.8,66.7,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Easterseals Arkansas – The Academy at Riverdale (Little Rock),78.7,76.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Eighty-Twenty Learning for ASD (Jonesboro),75.0,75.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Episcopal Collegiate School (Little Rock),95.4,94.8,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Fayetteville Christian School (Fayetteville),97.3,94.6,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Fayetteville Nature School (Fayetteville),90.9,81.8,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,"First Academy (Rogers, AR)",95.0,90.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,First Lutheran School (Fort Smith),63.6,49.1,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Friendship Lab School for Dyslexia (Little Rock),69.2,46.2,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Ft. Smith Montessori (Fort Smith ),94.4,38.9,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Harding Academy (Searcy),94.3,94.3,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Harvest Time Christian Academy (Fort Smith),93.5,90.3,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Holy Rosary Catholic School (Stuttgart),88.9,88.9,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Immaculate Conception Catholic School (North Little Rock),93.3,80.5,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Immaculate Conception School (Fort Smith),93.1,86.1,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Immaculate Heart of Mary School (North Little Rock),100.0,92.3,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Jacksonville Christian Academy (Jacksonville),85.0,85.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Joshua Academy (Van Buren ),87.9,87.9,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Julian and Jaxon Academy (Little Rock),0.0,0.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Leap Frog Montessori (Siloam Springs ),76.9,76.9,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Legacy Academy (DeQueen),90.9,0.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Legacy Academy (Lockesburg),71.4,71.4,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Liberty Christian School (Searcy),92.3,92.3,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Life Way Christian School (Centerton),93.0,93.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Little Rock Christian Academy (Little Rock),94.2,92.8,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,"Madonna Learning Center (Germantown, Tennessee)",100.0,100.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Maranatha Baptist Christian (Eldorado),100.0,100.0,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Mount St. Mary Academy (Little Rock),71.6,69.1,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,Mtn. Home Christian Academy (Mountain Home),88.2,88.2,2023_2024_EFA_Report_OSCPE.pdf
2023-24_to_2024-25,2023-24,2023-24_report,school,New Life Christian Academy (North Little Rock),77.5,77.5,2023_2024_EFA_Report_OSCPE.pdf
